Brutto Netto Lohnsteuer Sozialabgaben effektive-prozentuale-Lohnsteuerbelastung*1000
61700 45756.55 15943.45 12216.60 25.84
61800 45814.95 15985.05 12236.40 25.86
61900 45873.32 16026.68 12256.20 25.89
62000 45931.65 16068.35 12276.00 25.91
62100 45989.95 16110.05 12295.80 25.94
62200 46048.20 16151.80 12315.60 25.96
62300 46106.41 16193.59 12335.40 25.99
62400 46164.59 16235.41 12355.20 26.01
62500 46222.73 16277.27 12375.00 26.04
62600 46280.83 16319.17 12394.80 26.06
62700 46338.89 16361.11 12414.60 26.09
62800 46396.91 16403.09 12434.40 26.11
62900 46454.98 16445.02 12454.20 26.14
63000 46512.98 16487.02 12474.00 26.16
63100 46570.98 16529.02 12493.80 26.19
63200 46628.98 16571.02 12513.60 26.21
63300 46686.98 16613.02 12533.40 26.24
63400 46744.98 16655.02 12553.20 26.26
63500 46802.98 16697.02 12573.00 26.29
63600 46860.98 16739.02 12592.80 26.31
63700 46918.98 16781.02 12612.60 26.34
63800 46976.98 16823.02 12632.40 26.36
63900 47034.98 16865.02 12652.20 26.39
64000 47092.98 16907.02 12672.00 26.41
64100 47150.98 16949.02 12691.80 26.44
64200 47208.98 16991.02 12711.60 26.46
64300 47266.98 17033.02 12731.40 26.48
64400 47324.98 17075.02 12751.20 26.51
64500 47382.98 17117.02 12771.00 26.53
64600 47440.98 17159.02 12790.80 26.56
64700 47498.98 17201.02 12810.60 26.58
64800 47556.98 17243.02 12830.40 26.60
64900 47614.98 17285.02 12850.20 26.63
65000 47672.98 17327.02 12870.00 26.65
65100 47730.98 17369.02 12889.80 26.68
65200 47788.98 17411.02 12909.60 26.70
65300 47846.98 17453.02 12929.40 26.72
65400 47904.98 17495.02 12949.20 26.75
65500 47962.98 17537.02 12969.00 26.77
65600 48020.98 17579.02 12988.80 26.79
65700 48078.98 17621.02 13008.60 26.82
65800 48136.98 17663.02 13028.40 26.84
65900 48194.98 17705.02 13048.20 26.86
66000 48252.98 17747.02 13068.00 26.88
66100 48310.98 17789.02 13087.80 26.91
66200 48368.98 17831.02 13107.60 26.93
66300 48426.98 17873.02 13127.40 26.95
66400 48484.98 17915.02 13147.20 26.98
66500 48542.98 17957.02 13167.00 27.00
66600 48600.98 17999.02 13186.80 27.02
66700 48658.98 18041.02 13206.60 27.04
